,Group,Total,Total MoE,Total Percent Estimate,Total Percent MoE,Total Male Estimate,Total Male MoE,Percent Male Estimate,Percent Male MoE,Total Female Estimate,Total Female MoE,Percent Female Estimate,Percent Female MoE
0,Under 5 years,12243,387,6.8,0.2,6056,296,6.7,0.3,6187,284,7.0,0.3
1,5 to 9 years,13293,2081,7.4,1.2,6147,1406,6.8,1.6,7146,1483,8.1,1.7
2,10 to 14 years,15956,1944,8.9,1.1,8572,1247,9.4,1.4,7384,1459,8.4,1.7
3,15 to 19 years,13925,462,7.8,0.3,7078,288,7.8,0.3,6847,299,7.8,0.3
4,20 to 24 years,13585,1061,7.6,0.6,6848,461,7.5,0.5,6737,1001,7.6,1.1
5,25 to 29 years,12028,860,6.7,0.5,6271,360,6.9,0.4,5757,830,6.5,0.9
6,30 to 34 years,13199,590,7.4,0.3,7370,483,8.1,0.5,5829,460,6.6,0.5
7,35 to 39 years,9943,1609,5.6,0.9,5671,1182,6.2,1.3,4272,877,4.8,1.0
8,40 to 44 years,13067,1848,7.3,1.0,6999,1468,7.7,1.6,6068,975,6.9,1.1
9,45 to 49 years,9923,873,5.5,0.5,5304,838,5.8,0.9,4619,220,5.2,0.2
10,50 to 54 years,8855,570,4.9,0.3,4208,382,4.6,0.4,4647,330,5.3,0.4
11,55 to 59 years,9624,1315,5.4,0.7,4879,970,5.4,1.1,4745,674,5.4,0.8
12,60 to 64 years,8685,1274,4.9,0.7,4359,874,4.8,1.0,4326,734,4.9,0.8
13,65 to 69 years,7863,1070,4.4,0.6,3091,681,3.4,0.8,4772,695,5.4,0.8
14,70 to 74 years,6373,1042,3.6,0.6,3480,690,3.8,0.8,2893,643,3.3,0.7
15,75 to 79 years,4746,1052,2.7,0.6,2069,610,2.3,0.7,2677,669,3.0,0.8
16,80 to 84 years,2996,871,1.7,0.5,1293,618,1.4,0.7,1703,619,1.9,0.7
17,85 years and over,2753,896,1.5,0.5,1069,535,1.2,0.6,1684,626,1.9,0.7
